filename,width,height,class,xmin,ymin,xmax,ymax
0218084110.jpg,200,150,kaleng,103,77,173,119
0218084345.jpg,200,150,kaleng,104,77,174,117
0218084400.jpg,200,150,kaleng,104,82,174,122
0218084431.jpg,200,150,kaleng,107,80,174,123
0218084523.jpg,200,150,kaleng,111,70,174,125
0218084544.jpg,200,150,kaleng,130,57,174,124
0218084616.jpg,200,150,kaleng,112,84,174,143
0218085316.jpg,200,150,kaleng,129,53,173,116
0218085359.jpg,200,150,kaleng,138,59,173,116
0218090703.jpg,200,150,kaleng,132,72,173,126
0218101444.jpg,200,150,kaleng,103,67,174,108
0218101454.jpg,200,150,kaleng,107,67,174,138
0218101502.jpg,200,150,kaleng,134,61,173,137
0218101513.jpg,200,150,kaleng,104,81,173,120
0218101530.jpg,200,150,kaleng,114,66,173,120
0218101540.jpg,200,150,kaleng,122,76,174,143
0218101552.jpg,200,150,kaleng,126,65,172,134
0218101753.jpg,200,150,kaleng,122,86,174,144
0218101808.jpg,200,150,kaleng,124,71,173,135
0218101836.jpg,200,150,kaleng,124,65,174,128
0218101919.jpg,200,150,kaleng,104,70,173,144
0218101930.jpg,200,150,kaleng,100,75,175,128
0218101942.jpg,200,150,kaleng,122,47,173,133
0218101952.jpg,200,150,kaleng,121,54,172,142
1082.jpg,640,480,botolplastik,246,208,319,357
1083.jpg,640,480,botolplastik,274,101,367,379
1084.jpg,640,480,botolplastik,188,221,367,341
1268.jpg,640,480,botolplastik,275,100,348,309
1269.jpg,640,480,botolplastik,276,103,366,376
1270.jpg,640,480,botolplastik,267,104,356,373
1271.jpg,640,480,botolplastik,260,95,353,384
1272.jpg,640,480,botolplastik,210,98,286,307
1273.jpg,640,480,botolplastik,273,96,368,384
1274.jpg,640,480,botolplastik,271,98,344,305
1275.jpg,640,480,botolplastik,200,106,283,317
1408.jpg,640,480,botolplastik,201,108,279,319
1409.jpg,640,480,botolplastik,260,105,351,374
1410.jpg,640,480,botolplastik,198,207,327,339
1412.jpg,640,480,botolplastik,204,111,286,328
1438_corrected.jpg,640,480,botolplastik,236,103,311,313
1509.jpg,640,480,botolplastik,257,94,329,298
1510.jpg,640,480,botolplastik,230,118,312,336
1511.jpg,640,480,botolplastik,267,95,339,299
1512.jpg,640,480,botolplastik,210,213,332,351
1513.jpg,640,480,botolplastik,224,118,306,335
1514.jpg,640,480,botolplastik,280,103,370,378
1515.jpg,640,480,botolplastik,276,106,351,318
1516.jpg,640,480,botolplastik,205,217,362,359
1581_corrected.jpg,640,480,botolplastik,171,213,361,301
1605_corrected.jpg,640,480,botolplastik,237,104,312,312
1625_corrected.jpg,640,480,botolplastik,168,215,358,298
1652782520235.jpg,360,480,botolplastik,133,148,194,298
1652782520260.jpg,360,480,botolkaca,161,221,185,297
1652782520310.jpg,270,480,botolplastik,131,156,157,245
1652782520366.jpg,360,480,botolplastik,10,157,253,437
1652782520395.jpg,360,480,botolplastik,85,16,216,469
1652782520424.jpg,360,480,botolplastik,7,90,277,439
1652782520452.jpg,360,480,botolplastik,143,54,254,445
1652782520480.jpg,360,480,botolplastik,86,85,260,422
1652782520506.jpg,360,480,botolplastik,17,175,285,428
1652782520598.jpg,360,480,botolplastik,81,76,199,432
1652782520633.jpg,360,480,botolplastik,130,64,253,453
1652782520667.jpg,360,480,botolplastik,73,74,193,440
1652782520700.jpg,360,480,botolplastik,138,116,203,304
1652782520700.jpg,360,480,botolkaca,206,35,233,125
1652782520736.jpg,360,480,botolplastik,165,72,280,460
1652782520771.jpg,360,480,botolplastik,131,158,209,430
1652782520805.jpg,360,480,botolplastik,112,118,189,408
1652782520874.jpg,360,480,botolplastik,167,118,259,348
1652782520944.jpg,360,480,botolplastik,204,101,324,463
1652782520981.jpg,360,480,botolplastik,57,164,142,457
1652782521015.jpg,360,480,botolplastik,40,72,163,396
1652782521049.jpg,360,480,botolplastik,102,198,192,410
1652782521083.jpg,360,480,botolplastik,97,31,214,456
1652782521117.jpg,360,480,botolplastik,129,46,229,394
1652782521152.jpg,360,480,botolplastik,92,62,183,348
1652782521186.jpg,360,480,botolplastik,87,1,210,469
1652782521252.jpg,360,480,botolplastik,171,72,216,253
1652782521252.jpg,360,480,botolkaca,111,131,194,410
1652782521285.jpg,360,480,botolkaca,80,80,268,396
1652782521354.jpg,360,480,botolkaca,66,173,141,395
1652782521388.jpg,360,480,botolkaca,111,158,211,456
1652782521456.jpg,360,480,botolkaca,125,150,201,401
1652782521491.jpg,360,480,botolkaca,43,161,276,343
1652782521526.jpg,360,480,botolkaca,94,102,228,324
1652782521594.jpg,360,480,botolkaca,69,183,150,394
1652782521628.jpg,360,480,botolkaca,128,84,208,370
1652782521662.jpg,360,480,botolkaca,113,23,220,408
1652782521764.jpg,360,480,botolkaca,151,197,248,404
1652782521797.jpg,360,480,botolkaca,53,105,172,367
1652782521831.jpg,360,480,botolkaca,210,110,303,364
1652782521865.jpg,360,480,botolkaca,125,157,204,363
1652782521898.jpg,360,480,botolkaca,140,81,228,361
1652782521931.jpg,360,480,botolkaca,122,84,220,427
1652782521998.jpg,360,480,kaleng,222,232,309,390
1652782522033.jpg,360,480,kaleng,104,184,217,307
1652782522108.jpg,360,480,kaleng,96,218,201,357
1652782522149.jpg,360,480,kaleng,180,238,284,393
1652782522182.jpg,360,480,kaleng,148,257,274,353
1652782522215.jpg,360,480,kaleng,101,185,196,343
1652782522250.jpg,360,480,kaleng,76,115,209,334
1652782522389.jpg,360,480,kaleng,79,75,273,389
1652782522423.jpg,360,480,kaleng,148,221,275,401
1652782522459.jpg,360,480,kaleng,47,217,203,421
1652782522497.jpg,360,480,kaleng,238,258,341,442
1652782522529.jpg,360,480,kaleng,36,157,155,358
1652782522564.jpg,360,480,kaleng,125,292,223,450
1652782522597.jpg,360,480,kaleng,135,276,206,394
1652782522632.jpg,360,480,kaleng,135,221,216,377
1672.jpg,640,480,botolplastik,244,100,337,378
1673.jpg,640,480,botolplastik,196,226,397,293
1676.jpg,640,480,botolplastik,246,107,321,319
1677.jpg,640,480,botolplastik,245,101,317,309
1678.jpg,640,480,botolplastik,268,99,358,380
1679.jpg,640,480,botolplastik,213,206,289,349
1680.jpg,640,480,botolplastik,229,105,303,318
1681.jpg,640,480,botolplastik,257,208,365,350
1900.jpg,640,480,botolplastik,246,101,337,376
1901.jpg,640,480,botolplastik,249,101,322,310
1902.jpg,640,480,botolplastik,155,245,368,334
1904.jpg,640,480,botolplastik,214,211,407,316
2020-02-04 04_55_32.992243.jpg,800,600,botolplastik,322,15,520,600
2020-02-04 04_56_48.337772.jpg,800,600,botolplastik,321,18,535,600
2020-02-04 04_58_00.199673.jpg,800,600,botolplastik,331,75,586,600
2020-02-04 04_58_21.667454.jpg,800,600,botolplastik,321,86,548,600
2020-02-04 05_01_48.169318.jpg,800,600,botolplastik,309,16,463,600
2020-02-04 05_03_31.281206.jpg,800,600,botolplastik,345,5,523,600
2020-02-04 05_14_04.287920.jpg,800,600,botolplastik,284,138,535,536
2020-02-04 05_14_38.400187(1).jpg,800,600,botolplastik,275,225,568,391
